('JEQ, 9.38')
('JFIN, 4.1500')
('JFR, 9.46')
('JFU, 1.7300')
('JG, 5.72')
('JHAA, 9.86')
('JHB, 9.26')
('JILL, 4.6500')
('JMM, 7.25')
('JMP, 4.3500')
('JOF, 9.10')
('JP, 2.3000')
('JPC, 9.29')
('JPS, 9.60')
('JQC, 6.48')
('JRO, 9.37')
('JRS, 8.79')
('JRSH, 5.91')
('JT, 3.5900')
('JTA, 9.93')
('JUPW, 6.42')
('JUPWW, 0.9400')
('JVA, 5.35')
('KALA, 9.92')
('KBNT, 6.93')
('KBNTW, 2.1600')
('KBSF, 4.7400')
('KDMN, 5.32')
('KERN, 7.80')
('KERNW, 1.0000')
('KFFB, 6.50')
('KFS, 4.5700')
('KGC, 7.05')
('KIN, 5.18')
('KINS, 7.39')
('KINZW, 1.6900')
('KMDA, 7.44')
('KMF, 6.34')
('KMPH, 8.00')
('KNDI, 8.93')
('KOPN, 7.87')
('KOR, 2.3600')
('KOS, 2.5800')
('KRBP, 9.58')
('KRKR, 4.7000')
('KRMD, 4.3700')
('KRP, 8.82')
('KSMTW, 1.8000')
('KTCC, 9.38')
('KTRA, 1.9700')
('KUKE, 9.20')
('KXIN, 3.8900')
('KYN, 6.70')
('KZR, 5.35')
('LACQW, 1.0000')
('LAIX, 8.1800')
('LATNW, 0.4500')
('LBC, 9.97')
('LCAPW, 1.5600')
('LCI, 6.40')
('LCYAW, 1.6600')
('LEAF, 6.47')
('LEDS, 4.3000')
('LEE, 1.9000')
('LEJU, 3.2300')
('LEO, 8.52')
('LEXX, 7.32')
('LEXXW, 2.6600')
('LFT, 3.2300')
('LFTRW, 2.3500')
('LFVN, 9.68')
('LGHL, 3.5500')
('LGHLW, 0.3400')
('LIFE, 6.66')
('LINC, 6.30')
('LINX, 6.95')
('LITB, 3.2000')
('LIVKW, 0.4043')
('LIVX, 4.4440')
('LIXT, 3.6100')
('LIXTW, 0.9703')
('LJPC, 7.19')
('LKCO, 0.6590')
('LLIT, 7.56')
('LLNW, 4.5200')
('LMFA, 1.8800')
('LMNL, 5.40')
('LND, 4.3800')
('LNSR, 7.50')
('LOACR, 1.2500')
('LOACW, 0.2500')
('LOAN, 5.32')
('LOGC, 8.84')
('LOMA, 5.39')
('LOTZ, 9.65')
('LOTZW, 2.5700')
('LPCN, 1.9000')
('LPTH, 3.8400')
('LPTX, 2.6900')
('LQDA, 3.2200')
('LSEA, 9.13')
('LSEAW, 0.2948')
('LTBR, 7.55')
('LTRPA, 5.09')
('LTRX, 4.7900')
('LUB, 3.1600')
('LUXAW, 2.8000')
('LWAY, 6.45')
('LXEH, 8.50')
('LXRX, 8.75')
('LXU, 3.9800')
('LYG, 1.9900')
('LYL, 3.0000')
('MAACW, 1.8500')
('MACK, 7.46')
('MACUW, 0.8534')
('MAGS, 5.30')
('MARK, 4.4600')
('MARPS, 5.73')
('MBI, 6.59')
('MBII, 2.4500')
('MBIO, 4.7000')
('MBOT, 9.00')
('MBRX, 4.8500')
('MBT, 9.30')
('MCACR, 1.2500')
('MCBC, 8.65')
('MCEP, 5.88')
('MCHX, 3.1500')
('MCMJW, 0.7499')
('MCN, 7.11')
('MCR, 8.89')
('MDCA, 3.3200')
('MDGS, 3.2700')
('MDGSW, 0.2450')
('MDIA, 3.6131')
('MDJH, 4.9600')
('MDLQ, 7.96')
('MDLX, 7.70')
('MDLY, 9.26')
('MDNA, 4.1000')
('MDRR, 2.6000')
('MDWD, 6.00')
('MEDS, 6.75')
('MEIP, 3.8600')
('MESA, 7.11')
('MESO, 9.88')
('METC, 3.1500')
('METX, 3.0500')
('METXW, 0.2477')
('MFA, 3.9200')
('MFD, 8.84')
('MFG, 2.8400')
('MFGP, 6.59')
('MFH, 4.6200')
('MFIN, 6.68')
('MFM, 6.71')
('MFV, 5.77')
('MG, 7.76')
('MGF, 4.5200')
('MGI, 8.81')
('MGTA, 9.83')
('MGY, 9.85')
('MHF, 7.95')
('MHLD, 2.5000')
('MICT, 2.3500')
('MIE, 2.8000')
('MIN, 3.7600')
('MIND, 2.2700')
('MIST, 8.25')
('MITO, 1.7600')
('MITT, 3.6000')
('MKD, 1.5989')
('MKGI, 2.6500')
('MLACW, 1.5000')
('MLND, 2.3500')
('MMLP, 1.9100')
('MMT, 6.18')
('MN, 6.61')
('MNDO, 2.7000')
('MNKD, 5.03')
('MNOV, 6.60')
('MNPR, 7.90')
('MNTX, 6.22')
('MOGO, 6.16')
('MOGU, 3.4700')
('MOHO, 2.6800')
('MOSY, 3.3400')
('MOTNW, 1.8900')
('MOTS, 1.5000')
('MOXC, 2.5000')
('MPLN, 8.00')
('MRACW, 2.0000')
('MRAM, 5.71')
('MRC, 9.83')
('MRCC, 8.77')
('MREO, 2.7700')
('MRIN, 2.8600')
('MRKR, 2.2700')
('MRO, 7.93')
('MSD, 9.37')
('MTC, 2.7500')
('MTL, 1.9000')
('MTP, 2.9200')
('MTR, 4.7800')
('MTSL, 2.8100')
('MUDSW, 1.3000')
('MUFG, 4.8400')
('MUX, 1.1600')
('MVF, 9.32')
('MVO, 3.9499')
('MXE, 9.52')
('MYSZ, 1.5727')
('MYT, 2.3500')
('NAKD, 1.2150')
('NAOV, 1.3900')
('NAT, 3.2100')
('NBACR, 1.7900')
('NBACW, 0.1999')
('NBEV, 3.6900')
('NBRV, 2.9900')
('NCMI, 4.3500')
('NCNA, 6.40')
('NCV, 5.87')
